overlap,regime,load,shift,method,pair,subsequent_presentations,retention,lower95,upper95,forgetting,lower95_forgetting,upper95_forgetting
5,per_pair,16,False,random_ordinary,5,1280,0.9538509253181876,0.9273856684911355,0.9751187163767617,0.04121724626856382,0.020881064459869716,0.06693631086560883
5,per_pair,16,False,random_ordinary,6,1152,0.9502173540417503,0.9111318413144193,0.9811693642392141,0.03969287294018368,0.012759685812680832,0.07413794765629436
5,per_pair,16,False,random_ordinary,7,1024,0.9525250960612993,0.9019112638936871,0.984250890202043,0.03819378800512062,0.012666926433955169,0.07772900386292259
5,per_pair,16,False,random_ordinary,8,896,0.9540740839323059,0.8995137027552297,0.9886922129774139,0.030610528664038603,0.004365183382567881,0.0712920575055119
5,per_pair,16,False,random_ordinary,9,768,0.9833651530903286,0.9736281519964942,0.9914225921106429,0.011299236364410015,0.0034346499076395604,0.021048716005889125
5,per_pair,16,False,random_ordinary,10,640,0.9519013901799745,0.9058322828654123,0.9891380877022963,0.029262871235134075,0.004531793988182552,0.06108351790447201
5,per_pair,16,False,random_ordinary,11,512,0.9881657301239445,0.9751420459445092,0.9956330443348714,0.00358295572981239,-0.0026887229184571777,0.01242427951404079
5,per_pair,16,False,random_ordinary,12,384,0.9708721530328522,0.9425927975305955,0.9919600208003165,0.014711617302831853,0.0012224103681123721,0.032616568390413554
5,per_pair,16,False,random_ordinary,13,256,0.9845663536677062,0.9727102212991976,0.993130566930105,0.0055155239735232885,-0.001937418289227153,0.015710566216040337
5,per_pair,16,False,random_ordinary,14,128,0.9795654758146447,0.9556581749070705,0.9961229190918635,0.005482023914767302,0.000341415710791639,0.013952170829901698
5,per_pair,16,False,random_ordinary,15,0,0.9809835640241547,0.9508515182420922,0.9973054672856463,0.0,0.0,0.0
5,per_pair,16,False,random_homeostasis,0,1920,0.9277082487069461,0.872652644003271,0.9724913258089164,0.07082608837455506,0.026583084727010788,0.12559116955709704
5,per_pair,16,False,random_homeostasis,1,1792,0.9307161809304322,0.8897382081526798,0.9646762582377062,0.06622220000519939,0.031911732735186694,0.10750689523089109
5,per_pair,16,False,random_homeostasis,2,1664,0.9387635266552369,0.8927776220061946,0.9753314891143146,0.056475461612156,0.023811523807936427,0.09651545915627005
5,per_pair,16,False,random_homeostasis,3,1536,0.9431645899373415,0.902300898760557,0.9760082047816282,0.05087264430502118,0.020087148164597664,0.09071414187022599
5,per_pair,16,False,random_homeostasis,4,1408,0.9635113546691784,0.9123176976410767,0.9928319561049048,0.029963650860819212,0.006038677688558824,0.07047268695058831
5,per_pair,16,False,random_homeostasis,5,1280,0.9411531106484373,0.9069392624379025,0.9719233604301153,0.05666413978382586,0.02622379397795964,0.09066116855248878
5,per_pair,16,False,random_homeostasis,6,1152,0.9584358079472658,0.9187823334516937,0.9888693150127692,0.03438237074831144,0.008926055477308114,0.07104293344163502
5,per_pair,16,False,random_homeostasis,7,1024,0.9468000109818883,0.8815564477054998,0.9931065730251409,0.02828195162314404,0.006487328437195176,0.06215061393674485
5,per_pair,16,False,random_homeostasis,8,896,0.9612537000310146,0.9260607901298791,0.9882614008715241,0.02965686802529525,0.007380544763914282,0.059938840100593915
5,per_pair,16,False,random_homeostasis,9,768,0.9591266512518756,0.923602802439273,0.9868246079071672,0.037930151216298384,0.011478262510349599,0.07214930242265831
5,per_pair,16,False,random_homeostasis,10,640,0.9440449177201486,0.8818386443084703,0.9913525314818101,0.04690757873648315,0.007414306233554337,0.09912783530051361
5,per_pair,16,False,random_homeostasis,11,512,0.9939339786620334,0.9866880289207226,0.9986440124109836,0.0023985476721817603,-0.00243425876817333,0.007937627474985689
5,per_pair,16,False,random_homeostasis,12,384,0.9520509826847198,0.887378814359659,0.9968756583835283,0.029600066290494918,0.0006840269503884756,0.07271659402815438
5,per_pair,16,False,random_homeostasis,13,256,0.977612244028555,0.9561898227279582,0.9935835172441926,0.006945770461348477,-0.004914918279616564,0.01980931814095019
5,per_pair,16,False,random_homeostasis,14,128,0.9948669133208328,0.9880501063681139,0.9994573762468982,0.0016810210493384409,-0.00014268078671036039,0.0049143583454752575
5,per_pair,16,False,random_homeostasis,15,0,0.9979227359544979,0.9964235188653987,0.9991990698612129,0.0,0.0,0.0
5,per_pair,16,False,direct,0,1920,0.9118412956085189,0.8386519263013767,0.9705623571806811,0.08596482503459474,0.02742149850205545,0.15892300141817856
5,per_pair,16,False,direct,1,1792,0.8830422826223439,0.8032443018141301,0.9514373805835139,0.1155942607196712,0.04732509308366112,0.19530029699687035
